"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
146,"15/11/2015","Portland Trail Blazers",25,94,11,2,"L 4","Charlotte Hornets",4,12,11,106,10,2,"L 1"
147,"15/11/2015","Detroit Pistons",9,85,10,1,"L 3","Los Angeles Lakers",14,10,11,97,10,2,"L 4"
148,"15/11/2015","Memphis Grizzlies",15,114,11,2,"W 1","Minnesota Timberwolves",18,9,11,106,10,2,"L 3"
149,"15/11/2015","New Orleans Pelicans",19,87,10,2,"L 2","New York Knicks",20,11,12,95,11,2,"L 2"
150,"15/11/2015","Boston Celtics",2,100,9,2,"W 1","Oklahoma City Thunder",21,10,12,85,10,2,"W 3"
151,"15/11/2015","Toronto Raptors",28,101,11,2,"W 2","Sacramento Kings",26,10,11,107,11,2,"W 2"
152,"16/11/2015","Indiana Pacers",12,95,11,3,"W 3","Chicago Bulls",5,10,11,96,10,3,"W 2"
153,"16/11/2015","Boston Celtics",2,111,10,1,"W 2","Houston Rockets",11,12,12,95,11,2,"L 3"
154,"16/11/2015","Oklahoma City Thunder",21,114,11,1,"L 1","Memphis Grizzlies",15,10,11,122,12,1,"W 2"
155,"16/11/2015","Dallas Mavericks",7,92,11,2,"W 3","Philadelphia 76ers",23,12,10,86,11,2,"L 10"
156,"16/11/2015","Los Angeles Lakers",14,101,11,1,"W 1","Phoenix Suns",24,12,11,120,10,2,"W 2"
157,"16/11/2015","Portland Trail Blazers",25,80,12,1,"L 5","San Antonio Spurs",27,11,12,93,10,2,"W 4"
158,"17/11/2015","Atlanta Hawks",1,88,13,2,"L 2","Brooklyn Nets",3,10,11,90,11,3,"L 2"
159,"17/11/2015","Cleveland Cavaliers",6,99,11,3,"L 1","Detroit Pistons",9,10,11,104,11,2,"L 4"
160,"17/11/2015","Toronto Raptors",28,110,12,2,"L 1","Golden State Warriors",10,9,11,115,12,3,"W 11"
161,"17/11/2015","Minnesota Timberwolves",18,103,11,2,"L 4","Miami Heat",16,11,10,91,10,5,"W 3"
162,"17/11/2015","Denver Nuggets",8,115,11,3,"L 1","New Orleans Pelicans",19,11,12,98,11,2,"L 3"
163,"17/11/2015","Charlotte Hornets",4,94,11,2,"W 1","New York Knicks",20,9,12,102,12,2,"W 1"
164,"17/11/2015","Milwaukee Bucks",17,86,11,3,"W 1","Washington Wizards",30,12,12,115,9,3,"W 1"
165,"18/11/2015","Sacramento Kings",26,97,12,3,"W 3","Atlanta Hawks",1,10,11,103,14,1,"L 3"
166,"18/11/2015","Dallas Mavericks",7,106,12,2,"W 4","Boston Celtics",2,10,11,102,11,2,"W 3"
167,"18/11/2015","Brooklyn Nets",3,111,12,1,"W 1","Charlotte Hornets",4,11,10,116,12,1,"L 1"
168,"18/11/2015","Portland Trail Blazers",25,103,13,2,"L 6","Houston Rockets",11,11,11,108,12,2,"L 4"
169,"18/11/2015","New Orleans Pelicans",19,103,12,1,"L 4","Oklahoma City Thunder",21,9,11,110,12,2,"L 2"
170,"18/11/2015","Minnesota Timberwolves",18,101,12,1,"W 1","Orlando Magic",22,10,12,104,12,4,"L 1"
171,"18/11/2015","Indiana Pacers",12,112,12,2,"L 1","Philadelphia 76ers",23,10,12,85,12,2,"L 11"
172,"18/11/2015","Chicago Bulls",5,103,11,2,"W 3","Phoenix Suns",24,10,12,97,11,2,"W 3"
173,"18/11/2015","Denver Nuggets",8,98,12,1,"W 1","San Antonio Spurs",27,11,11,109,11,2,"W 5"
174,"18/11/2015","Toronto Raptors",28,89,13,1,"L 2","Utah Jazz",29,10,12,93,11,3,"W 1"
175,"19/11/2015","Milwaukee Bucks",17,100,12,2,"L 1","Cleveland Cavaliers",6,10,11,115,12,2,"L 2"
176,"19/11/2015","Golden State Warriors",10,124,13,2,"W 12","Los Angeles Clippers",13,12,10,117,11,5,"W 1"
177,"19/11/2015","Sacramento Kings",26,109,13,1,"L 1","Miami Heat",16,11,11,116,11,2,"L 1"
178,"20/11/2015","Brooklyn Nets",3,95,13,2,"L 1","Boston Celtics",2,12,12,120,12,2,"L 1"
179,"20/11/2015","Philadelphia 76ers",23,88,13,2,"L 12","Charlotte Hornets",4,11,12,113,13,2,"W 1"
180,"20/11/2015","Utah Jazz",29,93,12,2,"W 2","Dallas Mavericks",7,12,12,102,13,2,"W 5"
181,"20/11/2015","Phoenix Suns",24,114,12,2,"L 1","Denver Nuggets",8,12,12,107,13,2,"L 1"
182,"20/11/2015","Chicago Bulls",5,94,12,2,"W 4","Golden State Warriors",10,9,12,106,14,1,"W 13"
183,"20/11/2015","Toronto Raptors",28,102,14,2,"L 3","Los Angeles Lakers",14,10,11,91,12,4,"L 1"
184,"20/11/2015","Houston Rockets",11,84,13,2,"W 1","Memphis Grizzlies",15,11,12,96,13,4,"W 3"
185,"20/11/2015","Detroit Pistons",9,96,12,3,"W 1","Minnesota Timberwolves",18,10,12,86,13,2,"L 1"
186,"20/11/2015","San Antonio Spurs",27,90,12,2,"W 6","New Orleans Pelicans",19,12,11,104,13,2,"L 5"
187,"20/11/2015","New York Knicks",20,93,13,3,"W 2","Oklahoma City Thunder",21,12,11,90,13,2,"W 1"
188,"20/11/2015","Los Angeles Clippers",13,91,12,1,"L 1","Portland Trail Blazers",25,10,12,102,14,2,"L 7"
189,"21/11/2015","Atlanta Hawks",1,97,15,3,"W 1","Cleveland Cavaliers",6,12,11,109,13,2,"W 1"
190,"21/11/2015","Washington Wizards",30,97,10,4,"W 2","Detroit Pistons",9,10,11,95,13,1,"W 2"
191,"21/11/2015","New York Knicks",20,107,14,1,"W 3","Houston Rockets",11,11,10,102,14,1,"L 1"
192,"21/11/2015","Milwaukee Bucks",17,86,13,2,"L 2","Indiana Pacers",12,12,11,123,13,3,"W 1"
193,"21/11/2015","Philadelphia 76ers",23,91,14,1,"L 13","Miami Heat",16,9,12,96,12,2,"W 1"
194,"21/11/2015","Sacramento Kings",26,97,14,2,"L 2","Orlando Magic",22,8,12,91,13,3,"W 1"
195,"21/11/2015","Memphis Grizzlies",15,82,14,1,"W 4","San Antonio Spurs",27,9,12,92,13,1,"L 1"
196,"22/11/2015","Boston Celtics",2,101,13,2,"W 1","Brooklyn Nets",3,12,11,111,14,2,"L 2"
197,"22/11/2015","Golden State Warriors",10,118,15,2,"W 14","Denver Nuggets",8,12,11,105,14,2,"L 2"
198,"22/11/2015","Toronto Raptors",28,91,15,2,"W 1","Los Angeles Clippers",13,9,12,80,13,2,"L 2"
199,"22/11/2015","Portland Trail Blazers",25,107,15,2,"W 1","Los Angeles Lakers",14,10,10,93,13,2,"L 2"
